district,Month_Num,Rainfall_mm,Year,Temperature_C,Soil_Recharge_Factor,Groundwater_Level_mBGL,,,District
JANGOAN,September,56.3,2023,29,0.53,2.918648649,,,JANGOAN
JANGOAN,October,20,2023,28,0.53,2.790810811,,,JANGOAN
JANGOAN,November,39.8,2023,25,0.53,3.560540541,,,JANGOAN
JANGOAN,December,16.5,2023,23,0.53,4.534054054,,,JANGOAN
JANGOAN,January,0,2024,23.5,0.53,5.567837838,,,JANGOAN
JANGOAN,February,0,2024,25.5,0.53,6.898108108,,,JANGOAN
JANGOAN,March,2.3,2024,29.5,0.53,7.60972973,,,JANGOAN
JANGOAN,April,50.4,2024,33.5,0.53,7.8225,,,JANGOAN
JANGOAN,May,64.1,2024,36.5,0.53,7.088108108,,,JANGOAN
JANGOAN,June,73.4,2024,32.5,0.53,7.299459459,,,JANGOAN
JANGOAN,July,42.8,2024,29.5,0.53,6.150540541,,,JANGOAN
JANGOAN,August,64,2024,28.5,0.53,3.165405405,,,JANGOAN
JANGOAN,September,283.1,2024,29.5,0.53,2.918648649,,,JANGOAN
JANGOAN,October,46.1,2024,28.5,0.53,2.790810811,,,JANGOAN
JANGOAN,November,19.6,2024,25.5,0.53,3.560540541,,,JANGOAN
JANGOAN,December,48.1,2024,23.5,0.53,4.534054054,,,JANGOAN
JAYASHANKAR,January,0,2023,23,0.48,7.255625,,,JAYASHANKAR
JAYASHANKAR,February,0,2023,25,0.48,7.980416667,,,JAYASHANKAR
JAYASHANKAR,March,59,2023,29,0.48,8.591666667,,,JAYASHANKAR
JAYASHANKAR,April,21.8,2023,33,0.48,9.65625,,,JAYASHANKAR
JAYASHANKAR,May,55.3,2023,36,0.48,10.04875,,,JAYASHANKAR
JAYASHANKAR,June,39.7,2023,32,0.48,9.721666667,,,JAYASHANKAR
JAYASHANKAR,July,618.5,2023,29,0.48,4.650833333,,,JAYASHANKAR
JAYASHANKAR,August,100.6,2023,28,0.48,6.254166667,,,JAYASHANKAR
JAYASHANKAR,September,109.5,2023,29,0.48,6.333541667,,,JAYASHANKAR
JAYASHANKAR,October,30.9,2023,28,0.48,5.880208333,,,JAYASHANKAR
JAYASHANKAR,November,24.6,2023,25,0.48,6.365208333,,,JAYASHANKAR
JAYASHANKAR,December,26.5,2023,23,0.48,6.862083333,,,JAYASHANKAR
JAYASHANKAR,January,0.2,2024,23.5,0.48,7.255625,,,JAYASHANKAR
JAYASHANKAR,February,1.8,2024,25.5,0.48,7.980416667,,,JAYASHANKAR
JAYASHANKAR,March,12.1,2024,29.5,0.48,8.591666667,,,JAYASHANKAR
JAYASHANKAR,April,0,2024,33.5,0.48,9.65625,,,JAYASHANKAR
JAYASHANKAR,May,93.1,2024,36.5,0.48,10.04875,,,JAYASHANKAR
JAYASHANKAR,June,84.2,2024,32.5,0.48,9.721666667,,,JAYASHANKAR
JAYASHANKAR,July,120,2024,29.5,0.48,4.650833333,,,JAYASHANKAR
JAYASHANKAR,August,78.2,2024,28.5,0.48,6.254166667,,,JAYASHANKAR
JAYASHANKAR,September,77.5,2024,29.5,0.48,6.333541667,,,JAYASHANKAR
JAYASHANKAR,October,42.4,2024,28.5,0.48,5.880208333,,,JAYASHANKAR
JAYASHANKAR,November,34.5,2024,25.5,0.48,6.365208333,,,JAYASHANKAR
JAYASHANKAR,December,5.7,2024,23.5,0.48,6.862083333,,,JAYASHANKAR
JOGULAMBA GADWAL,January,0,2023,24,0.52,5.549666667,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,February,0,2023,26,0.52,6.691290323,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,March,41.8,2023,30,0.52,5.406666667,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,April,80.1,2023,34,0.52,6.161,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,May,47.9,2023,37,0.52,5.259333333,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,June,26.8,2023,33,0.52,5.577666667,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,July,62.6,2023,30,0.52,5.804137931,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,August,44.8,2023,29,0.52,5.284375,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,September,44,2023,30,0.52,4.331875,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,October,3.2,2023,29,0.52,3.63,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,November,56.3,2023,26,0.52,3.914705882,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,December,9.6,2023,24,0.52,4.087647059,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,January,0,2024,24.5,0.52,5.549666667,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,February,0,2024,26.5,0.52,6.691290323,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,March,0,2024,30.5,0.52,5.406666667,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,April,12.7,2024,34.5,0.52,6.161,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,May,98.8,2024,37.5,0.52,5.259333333,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,June,147,2024,33.5,0.52,5.577666667,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,July,57.1,2024,30.5,0.52,5.804137931,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,August,122.3,2024,29.5,0.52,5.284375,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,September,70.7,2024,30.5,0.52,4.331875,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,October,44.1,2024,29.5,0.52,3.63,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,November,12.1,2024,26.5,0.52,3.914705882,,,JOGULAMBA GADWAL
JOGULAMBA GADWAL,December,8.2,2024,24.5,0.52,4.087647059,,,JOGULAMBA GADWAL
KAMAREDDY,January,0,2023,23,0.66,9.235652174,,,KAMAREDDY
KAMAREDDY,February,0,2023,25,0.66,10.9926087,,,KAMAREDDY
KAMAREDDY,March,44.6,2023,29,0.66,12.58043478,,,KAMAREDDY
KAMAREDDY,April,70.4,2023,33,0.66,14.0584058,,,KAMAREDDY
KAMAREDDY,May,76.4,2023,36,0.66,11.58289855,,,KAMAREDDY
KAMAREDDY,June,59.4,2023,32,0.66,12.1184058,,,KAMAREDDY
KAMAREDDY,July,106.4,2023,29,0.66,9.232318841,,,KAMAREDDY
KAMAREDDY,August,75.1,2023,28,0.66,6.647246377,,,KAMAREDDY
KAMAREDDY,September,119.2,2023,29,0.66,5.93173913,,,KAMAREDDY
KAMAREDDY,October,62.7,2023,28,0.66,5.518571429,,,KAMAREDDY
KAMAREDDY,November,30.8,2023,25,0.66,6.028285714,,,KAMAREDDY
KAMAREDDY,December,3.2,2023,23,0.66,7.42173913,,,KAMAREDDY
KAMAREDDY,January,0,2024,23.5,0.66,9.235652174,,,KAMAREDDY
KAMAREDDY,February,2.5,2024,25.5,0.66,10.9926087,,,KAMAREDDY
KAMAREDDY,March,50.8,2024,29.5,0.66,12.58043478,,,KAMAREDDY
KAMAREDDY,April,45,2024,33.5,0.66,14.0584058,,,KAMAREDDY
KAMAREDDY,May,48.4,2024,36.5,0.66,11.58289855,,,KAMAREDDY
KAMAREDDY,June,86.2,2024,32.5,0.66,12.1184058,,,KAMAREDDY
KAMAREDDY,July,97.1,2024,29.5,0.66,9.232318841,,,KAMAREDDY
KAMAREDDY,August,95.4,2024,28.5,0.66,6.647246377,,,KAMAREDDY
KAMAREDDY,September,240.8,2024,29.5,0.66,5.93173913,,,KAMAREDDY
KAMAREDDY,October,102.6,2024,28.5,0.66,5.518571429,,,KAMAREDDY
KAMAREDDY,November,10.8,2024,25.5,0.66,6.028285714,,,KAMAREDDY
KAMAREDDY,December,28,2024,23.5,0.66,7.42173913,,,KAMAREDDY
KARIMNAGAR,January,0,2023,23,0.61,5.9192,,,KARIMNAGAR
KARIMNAGAR,February,0,2023,25,0.61,7.132083333,,,KARIMNAGAR
KARIMNAGAR,March,74.8,2023,29,0.61,7.402916667,,,KARIMNAGAR
KARIMNAGAR,April,74,2023,33,0.61,7.635833333,,,KARIMNAGAR
KARIMNAGAR,May,90.4,2023,36,0.61,7.368333333,,,KARIMNAGAR
KARIMNAGAR,June,26.5,2023,32,0.61,8.109583333,,,KARIMNAGAR
KARIMNAGAR,July,384,2023,29,0.61,4.190416667,,,KARIMNAGAR
KARIMNAGAR,August,76,2023,28,0.61,2.8596,,,KARIMNAGAR
KARIMNAGAR,September,99.6,2023,29,0.61,2.694,,,KARIMNAGAR
KARIMNAGAR,October,40,2023,28,0.61,3.2796,,,KARIMNAGAR
